geoid,name,link,csa
31000US40700,"Roseburg, OR","http://en.wikipedia.org/wiki/Roseburg,_OR_Micropolitan_Statistical_Area",
31000US12700,"Barnstable Town, MA","http://en.wikipedia.org/wiki/Barnstable_Town,_MA_Metropolitan_Statistical_Area",148
31000US48060,"Watertown-Fort Drum, NY","http://en.wikipedia.org/wiki/Watertown-Fort_Drum,_NY_Metropolitan_Statistical_Area",
31000US24300,"Grand Junction, CO","http://en.wikipedia.org/wiki/Grand_Junction,_CO_Metropolitan_Statistical_Area",
31000US45460,"Terre Haute, IN","http://en.wikipedia.org/wiki/Terre_Haute,_IN_Metropolitan_Statistical_Area",
31000US30220,"Levelland, TX","http://en.wikipedia.org/wiki/Levelland,_TX_Micropolitan_Statistical_Area",352
31000US19780,"Des Moines-West Des Moines, IA","http://en.wikipedia.org/wiki/Des_Moines-West_Des_Moines,_IA_Metropolitan_Statistical_Area",218
31000US40380,"Rochester, NY","http://en.wikipedia.org/wiki/Rochester,_NY_Metropolitan_Statistical_Area",464
31000US37220,"Pahrump, NV","http://en.wikipedia.org/wiki/Pahrump,_NV_Micropolitan_Statistical_Area",332
31000US11140,"Americus, GA","http://en.wikipedia.org/wiki/Americus,_GA_Micropolitan_Statistical_Area",
31000US37620,"Parkersburg-Vienna, WV","http://en.wikipedia.org/wiki/Parkersburg-Vienna,_WV_Metropolitan_Statistical_Area",425
31000US14180,"Blytheville, AR","http://en.wikipedia.org/wiki/Blytheville,_AR_Micropolitan_Statistical_Area",
31000US39340,"Provo-Orem, UT","http://en.wikipedia.org/wiki/Provo-Orem,_UT_Metropolitan_Statistical_Area",482
31000US12660,"Baraboo, WI","http://en.wikipedia.org/wiki/Baraboo,_WI_Micropolitan_Statistical_Area",357
31000US19300,"Daphne-Fairhope-Foley, AL","http://en.wikipedia.org/wiki/Daphne-Fairhope-Foley,_AL_Metropolitan_Statistical_Area",380
31000US49740,"Yuma, AZ","http://en.wikipedia.org/wiki/Yuma,_AZ_Metropolitan_Statistical_Area",
31000US11060,"Altus, OK","http://en.wikipedia.org/wiki/Altus,_OK_Micropolitan_Statistical_Area",
31000US45140,"Tahlequah, OK","http://en.wikipedia.org/wiki/Tahlequah,_OK_Micropolitan_Statistical_Area",538
31000US31060,"Los Alamos, NM","http://en.wikipedia.org/wiki/Los_Alamos,_NM_Micropolitan_Statistical_Area",106
31000US37740,"Payson, AZ","http://en.wikipedia.org/wiki/Payson,_AZ_Micropolitan_Statistical_Area",
31000US25740,"Helena, MT","http://en.wikipedia.org/wiki/Helena,_MT_Micropolitan_Statistical_Area",
31000US21660,"Eugene, OR","http://en.wikipedia.org/wiki/Eugene,_OR_Metropolitan_Statistical_Area",
31000US21840,"Fairfield, IA","http://en.wikipedia.org/wiki/Fairfield,_IA_Micropolitan_Statistical_Area",
31000US17220,"Clarksburg, WV","http://en.wikipedia.org/wiki/Clarksburg,_WV_Micropolitan_Statistical_Area",
31000US13540,"Bennington, VT","http://en.wikipedia.org/wiki/Bennington,_VT_Micropolitan_Statistical_Area",
31000US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","http://en.wikipedia.org/wiki/Philadelphia-Camden-Wilmington,_PA-NJ-DE-MD_Metropolitan_Statistical_Area",428
31000US12980,"Battle Creek, MI","http://en.wikipedia.org/wiki/Battle_Creek,_MI_Metropolitan_Statistical_Area",310
31000US43980,"Spencer, IA","http://en.wikipedia.org/wiki/Spencer,_IA_Micropolitan_Statistical_Area",
31000US17380,"Cleveland, MS","http://en.wikipedia.org/wiki/Cleveland,_MS_Micropolitan_Statistical_Area",185
31000US36700,"Orangeburg, SC","http://en.wikipedia.org/wiki/Orangeburg,_SC_Micropolitan_Statistical_Area",192
31000US30280,"Lewisburg, TN","http://en.wikipedia.org/wiki/Lewisburg,_TN_Micropolitan_Statistical_Area",400
31000US16700,"Charleston-North Charleston, SC","http://en.wikipedia.org/wiki/Charleston-North_Charleston,_SC_Metropolitan_Statistical_Area",
31000US21060,"Elizabethtown-Fort Knox, KY","http://en.wikipedia.org/wiki/Elizabethtown-Fort_Knox,_KY_Metropolitan_Statistical_Area",350
31000US13420,"Bemidji, MN","http://en.wikipedia.org/wiki/Bemidji,_MN_Micropolitan_Statistical_Area",
31000US17980,"Columbus, GA-AL","http://en.wikipedia.org/wiki/Columbus,_GA-AL_Metropolitan_Statistical_Area",194
31000US47940,"Waterloo-Cedar Falls, IA","http://en.wikipedia.org/wiki/Waterloo-Cedar_Falls,_IA_Metropolitan_Statistical_Area",
31000US17860,"Columbia, MO","http://en.wikipedia.org/wiki/Columbia,_MO_Metropolitan_Statistical_Area",190
31000US11680,"Arkansas City-Winfield, KS","http://en.wikipedia.org/wiki/Arkansas_City-Winfield,_KS_Micropolitan_Statistical_Area",556
31000US26090,"Holland, MI","http://en.wikipedia.org/wiki/Holland,_MI_Micropolitan_Statistical_Area",266
31000US22660,"Fort Collins, CO","http://en.wikipedia.org/wiki/Fort_Collins,_CO_Metropolitan_Statistical_Area",
31000US16380,"Celina, OH","http://en.wikipedia.org/wiki/Celina,_OH_Micropolitan_Statistical_Area",338
31000US15580,"Butte-Silver Bow, MT","http://en.wikipedia.org/wiki/Butte-Silver_Bow,_MT_Micropolitan_Statistical_Area",
31000US32740,"Meadville, PA","http://en.wikipedia.org/wiki/Meadville,_PA_Micropolitan_Statistical_Area",240
31000US27300,"Jacksonville, IL","http://en.wikipedia.org/wiki/Jacksonville,_IL_Micropolitan_Statistical_Area",522
31000US41420,"Salem, OR","http://en.wikipedia.org/wiki/Salem,_OR_Metropolitan_Statistical_Area",440
31000US43500,"Silver City, NM","http://en.wikipedia.org/wiki/Silver_City,_NM_Micropolitan_Statistical_Area",
31000US47820,"Washington, NC","http://en.wikipedia.org/wiki/Washington,_NC_Micropolitan_Statistical_Area",274
31000US36660,"Opelousas, LA","http://en.wikipedia.org/wiki/Opelousas,_LA_Micropolitan_Statistical_Area",318
31000US23660,"Galesburg, IL","http://en.wikipedia.org/wiki/Galesburg,_IL_Micropolitan_Statistical_Area",
31000US13900,"Bismarck, ND","http://en.wikipedia.org/wiki/Bismarck,_ND_Metropolitan_Statistical_Area",
31000US34500,"Mount Vernon, IL","http://en.wikipedia.org/wiki/Mount_Vernon,_IL_Micropolitan_Statistical_Area",
31000US46540,"Utica-Rome, NY","http://en.wikipedia.org/wiki/Utica-Rome,_NY_Metropolitan_Statistical_Area",
31000US10700,"Albertville, AL","http://en.wikipedia.org/wiki/Albertville,_AL_Micropolitan_Statistical_Area",290
31000US42900,"Seneca Falls, NY","http://en.wikipedia.org/wiki/Seneca_Falls,_NY_Micropolitan_Statistical_Area",464
31000US27900,"Joplin, MO","http://en.wikipedia.org/wiki/Joplin,_MO_Metropolitan_Statistical_Area",309
31000US18100,"Columbus, NE","http://en.wikipedia.org/wiki/Columbus,_NE_Micropolitan_Statistical_Area",
31000US44860,"Sulphur Springs, TX","http://en.wikipedia.org/wiki/Sulphur_Springs,_TX_Micropolitan_Statistical_Area",206
31000US22900,"Fort Smith, AR-OK","http://en.wikipedia.org/wiki/Fort_Smith,_AR-OK_Metropolitan_Statistical_Area",
31000US23540,"Gainesville, FL","http://en.wikipedia.org/wiki/Gainesville,_FL_Metropolitan_Statistical_Area",264
31000US38820,"Port Angeles, WA","http://en.wikipedia.org/wiki/Port_Angeles,_WA_Micropolitan_Statistical_Area",
31000US46460,"Union City, TN-KY","http://en.wikipedia.org/wiki/Union_City,_TN-KY_Micropolitan_Statistical_Area",362
31000US35900,"North Wilkesboro, NC","http://en.wikipedia.org/wiki/North_Wilkesboro,_NC_Micropolitan_Statistical_Area",
31000US41900,"San Germán, PR","http://en.wikipedia.org/wiki/San_Germ%C3%A1n,_PR_Metropolitan_Statistical_Area",364
31000US44900,"Summerville, GA","http://en.wikipedia.org/wiki/Summerville,_GA_Micropolitan_Statistical_Area",470
31000US38380,"Plainview, TX","http://en.wikipedia.org/wiki/Plainview,_TX_Micropolitan_Statistical_Area",
31000US31620,"Magnolia, AR","http://en.wikipedia.org/wiki/Magnolia,_AR_Micropolitan_Statistical_Area",
31000US34020,"Morgan City, LA","http://en.wikipedia.org/wiki/Morgan_City,_LA_Micropolitan_Statistical_Area",318
31000US20820,"Effingham, IL","http://en.wikipedia.org/wiki/Effingham,_IL_Micropolitan_Statistical_Area",
31000US26020,"Hobbs, NM","http://en.wikipedia.org/wiki/Hobbs,_NM_Micropolitan_Statistical_Area",
31000US23060,"Fort Wayne, IN","http://en.wikipedia.org/wiki/Fort_Wayne,_IN_Metropolitan_Statistical_Area",258
31000US27100,"Jackson, MI","http://en.wikipedia.org/wiki/Jackson,_MI_Metropolitan_Statistical_Area",
31000US38260,"Pittsburg, KS","http://en.wikipedia.org/wiki/Pittsburg,_KS_Micropolitan_Statistical_Area",
31000US34180,"Moses Lake, WA","http://en.wikipedia.org/wiki/Moses_Lake,_WA_Micropolitan_Statistical_Area",393
31000US29620,"Lansing-East Lansing, MI","http://en.wikipedia.org/wiki/Lansing-East_Lansing,_MI_Metropolitan_Statistical_Area",330
31000US23140,"Frankfort, IN","http://en.wikipedia.org/wiki/Frankfort,_IN_Micropolitan_Statistical_Area",320
31000US48940,"Wilmington, OH","http://en.wikipedia.org/wiki/Wilmington,_OH_Micropolitan_Statistical_Area",178
31000US22620,"Forrest City, AR","http://en.wikipedia.org/wiki/Forrest_City,_AR_Micropolitan_Statistical_Area",368
31000US33460,"Minneapolis-St. Paul-Bloomington, MN-WI","http://en.wikipedia.org/wiki/Minneapolis-St._Paul-Bloomington,_MN-WI_Metropolitan_Statistical_Area",378
31000US33940,"Montrose, CO","http://en.wikipedia.org/wiki/Montrose,_CO_Micropolitan_Statistical_Area",
31000US31300,"Lumberton, NC","http://en.wikipedia.org/wiki/Lumberton,_NC_Micropolitan_Statistical_Area",246
31000US48620,"Wichita, KS","http://en.wikipedia.org/wiki/Wichita,_KS_Metropolitan_Statistical_Area",556
31000US22540,"Fond du Lac, WI","http://en.wikipedia.org/wiki/Fond_du_Lac,_WI_Metropolitan_Statistical_Area",
31000US45700,"Tifton, GA","http://en.wikipedia.org/wiki/Tifton,_GA_Micropolitan_Statistical_Area",
31000US19180,"Danville, IL","http://en.wikipedia.org/wiki/Danville,_IL_Metropolitan_Statistical_Area",
31000US11940,"Athens, TN","http://en.wikipedia.org/wiki/Athens,_TN_Micropolitan_Statistical_Area",174
31000US28420,"Kennewick-Richland, WA","http://en.wikipedia.org/wiki/Kennewick-Richland,_WA_Metropolitan_Statistical_Area",
31000US41820,"Sanford, NC","http://en.wikipedia.org/wiki/Sanford,_NC_Micropolitan_Statistical_Area",450
31000US49260,"Woodward, OK","http://en.wikipedia.org/wiki/Woodward,_OK_Micropolitan_Statistical_Area",
31000US10380,"Aguadilla-Isabela, PR","http://en.wikipedia.org/wiki/Aguadilla-Isabela,_PR_Metropolitan_Statistical_Area",
31000US40980,"Saginaw, MI","http://en.wikipedia.org/wiki/Saginaw,_MI_Metropolitan_Statistical_Area",474
31000US46860,"Vernal, UT","http://en.wikipedia.org/wiki/Vernal,_UT_Micropolitan_Statistical_Area",
31000US23240,"Fredericksburg, TX","http://en.wikipedia.org/wiki/Fredericksburg,_TX_Micropolitan_Statistical_Area",
31000US22380,"Flagstaff, AZ","http://en.wikipedia.org/wiki/Flagstaff,_AZ_Metropolitan_Statistical_Area",
31000US11220,"Amsterdam, NY","http://en.wikipedia.org/wiki/Amsterdam,_NY_Micropolitan_Statistical_Area",104
31000US39140,"Prescott, AZ","http://en.wikipedia.org/wiki/Prescott,_AZ_Metropolitan_Statistical_Area",
31000US38500,"Plymouth, IN","http://en.wikipedia.org/wiki/Plymouth,_IN_Micropolitan_Statistical_Area",515
31000US22260,"Fergus Falls, MN","http://en.wikipedia.org/wiki/Fergus_Falls,_MN_Micropolitan_Statistical_Area",
31000US48260,"Weirton-Steubenville, WV-OH","http://en.wikipedia.org/wiki/Weirton-Steubenville,_WV-OH_Metropolitan_Statistical_Area",430
31000US48540,"Wheeling, WV-OH","http://en.wikipedia.org/wiki/Wheeling,_WV-OH_Metropolitan_Statistical_Area",
31000US22300,"Findlay, OH","http://en.wikipedia.org/wiki/Findlay,_OH_Micropolitan_Statistical_Area",248
31000US28660,"Killeen-Temple, TX","http://en.wikipedia.org/wiki/Killeen-Temple,_TX_Metropolitan_Statistical_Area",
31000US36840,"Ottawa, KS","http://en.wikipedia.org/wiki/Ottawa,_KS_Micropolitan_Statistical_Area",312
31000US25900,"Hilo, HI","http://en.wikipedia.org/wiki/Hilo,_HI_Micropolitan_Statistical_Area",
31000US39380,"Pueblo, CO","http://en.wikipedia.org/wiki/Pueblo,_CO_Metropolitan_Statistical_Area",444
31000US39220,"Price, UT","http://en.wikipedia.org/wiki/Price,_UT_Micropolitan_Statistical_Area",
31000US28140,"Kansas City, MO-KS","http://en.wikipedia.org/wiki/Kansas_City,_MO-KS_Metropolitan_Statistical_Area",312
31000US43380,"Sidney, OH","http://en.wikipedia.org/wiki/Sidney,_OH_Micropolitan_Statistical_Area",212
31000US40180,"Riverton, WY","http://en.wikipedia.org/wiki/Riverton,_WY_Micropolitan_Statistical_Area",
31000US14620,"Bradford, PA","http://en.wikipedia.org/wiki/Bradford,_PA_Micropolitan_Statistical_Area",
31000US48020,"Watertown-Fort Atkinson, WI","http://en.wikipedia.org/wiki/Watertown-Fort_Atkinson,_WI_Micropolitan_Statistical_Area",376
31000US16100,"Carlsbad-Artesia, NM","http://en.wikipedia.org/wiki/Carlsbad-Artesia,_NM_Micropolitan_Statistical_Area",
31000US44540,"Sterling, CO","http://en.wikipedia.org/wiki/Sterling,_CO_Micropolitan_Statistical_Area",
31000US15860,"Cañon City, CO","http://en.wikipedia.org/wiki/Ca%C3%B1on_City,_CO_Micropolitan_Statistical_Area",444
31000US48780,"Williston, ND","http://en.wikipedia.org/wiki/Williston,_ND_Micropolitan_Statistical_Area",
31000US14780,"Brenham, TX","http://en.wikipedia.org/wiki/Brenham,_TX_Micropolitan_Statistical_Area",288
31000US33740,"Monroe, LA","http://en.wikipedia.org/wiki/Monroe,_LA_Metropolitan_Statistical_Area",384
31000US12620,"Bangor, ME","http://en.wikipedia.org/wiki/Bangor,_ME_Metropolitan_Statistical_Area",
31000US22280,"Fernley, NV","http://en.wikipedia.org/wiki/Fernley,_NV_Micropolitan_Statistical_Area",456
31000US28860,"Kirksville, MO","http://en.wikipedia.org/wiki/Kirksville,_MO_Micropolitan_Statistical_Area",
31000US27540,"Jasper, IN","http://en.wikipedia.org/wiki/Jasper,_IN_Micropolitan_Statistical_Area",
31000US36100,"Ocala, FL","http://en.wikipedia.org/wiki/Ocala,_FL_Metropolitan_Statistical_Area",
31000US32580,"McAllen-Edinburg-Mission, TX","http://en.wikipedia.org/wiki/McAllen-Edinburg-Mission,_TX_Metropolitan_Statistical_Area",365
31000US48140,"Wausau, WI","http://en.wikipedia.org/wiki/Wausau,_WI_Metropolitan_Statistical_Area",554
31000US14140,"Bluefield, WV-VA","http://en.wikipedia.org/wiki/Bluefield,_WV-VA_Micropolitan_Statistical_Area",
31000US47920,"Washington Court House, OH","http://en.wikipedia.org/wiki/Washington_Court_House,_OH_Micropolitan_Statistical_Area",198
31000US49780,"Zanesville, OH","http://en.wikipedia.org/wiki/Zanesville,_OH_Micropolitan_Statistical_Area",198
31000US39740,"Reading, PA","http://en.wikipedia.org/wiki/Reading,_PA_Metropolitan_Statistical_Area",428
31000US39660,"Rapid City, SD","http://en.wikipedia.org/wiki/Rapid_City,_SD_Metropolitan_Statistical_Area",452
31000US43300,"Sherman-Denison, TX","http://en.wikipedia.org/wiki/Sherman-Denison,_TX_Metropolitan_Statistical_Area",206
31000US46020,"Truckee-Grass Valley, CA","http://en.wikipedia.org/wiki/Truckee-Grass_Valley,_CA_Micropolitan_Statistical_Area",472
31000US45060,"Syracuse, NY","http://en.wikipedia.org/wiki/Syracuse,_NY_Metropolitan_Statistical_Area",532
31000US11860,"Atchison, KS","http://en.wikipedia.org/wiki/Atchison,_KS_Micropolitan_Statistical_Area",312
31000US24620,"Greeneville, TN","http://en.wikipedia.org/wiki/Greeneville,_TN_Micropolitan_Statistical_Area",
31000US35580,"New Ulm, MN","http://en.wikipedia.org/wiki/New_Ulm,_MN_Micropolitan_Statistical_Area",359
31000US25620,"Hattiesburg, MS","http://en.wikipedia.org/wiki/Hattiesburg,_MS_Metropolitan_Statistical_Area",
31000US27020,"Iron Mountain, MI-WI","http://en.wikipedia.org/wiki/Iron_Mountain,_MI-WI_Micropolitan_Statistical_Area",
31000US32900,"Merced, CA","http://en.wikipedia.org/wiki/Merced,_CA_Metropolitan_Statistical_Area",382
31000US16740,"Charlotte-Concord-Gastonia, NC-SC","http://en.wikipedia.org/wiki/Charlotte-Concord-Gastonia,_NC-SC_Metropolitan_Statistical_Area",172
31000US21020,"Elizabeth City, NC","http://en.wikipedia.org/wiki/Elizabeth_City,_NC_Micropolitan_Statistical_Area",545
31000US18700,"Corvallis, OR","http://en.wikipedia.org/wiki/Corvallis,_OR_Metropolitan_Statistical_Area",440
31000US33500,"Minot, ND","http://en.wikipedia.org/wiki/Minot,_ND_Micropolitan_Statistical_Area",
31000US41760,"Sandpoint, ID","http://en.wikipedia.org/wiki/Sandpoint,_ID_Micropolitan_Statistical_Area",
31000US15260,"Brunswick, GA","http://en.wikipedia.org/wiki/Brunswick,_GA_Metropolitan_Statistical_Area",
31000US25060,"Gulfport-Biloxi-Pascagoula, MS","http://en.wikipedia.org/wiki/Gulfport-Biloxi-Pascagoula,_MS_Metropolitan_Statistical_Area",
31000US17340,"Clearlake, CA","http://en.wikipedia.org/wiki/Clearlake,_CA_Micropolitan_Statistical_Area",
31000US15780,"Camden, AR","http://en.wikipedia.org/wiki/Camden,_AR_Micropolitan_Statistical_Area",
31000US42460,"Scottsboro, AL","http://en.wikipedia.org/wiki/Scottsboro,_AL_Micropolitan_Statistical_Area",174
31000US16580,"Champaign-Urbana, IL","http://en.wikipedia.org/wiki/Champaign-Urbana,_IL_Metropolitan_Statistical_Area",
31000US13500,"Bennettsville, SC","http://en.wikipedia.org/wiki/Bennettsville,_SC_Micropolitan_Statistical_Area",
31000US12940,"Baton Rouge, LA","http://en.wikipedia.org/wiki/Baton_Rouge,_LA_Metropolitan_Statistical_Area",
31000US30980,"Longview, TX","http://en.wikipedia.org/wiki/Longview,_TX_Metropolitan_Statistical_Area",346
31000US16620,"Charleston, WV","http://en.wikipedia.org/wiki/Charleston,_WV_Metropolitan_Statistical_Area",170
31000US17820,"Colorado Springs, CO","http://en.wikipedia.org/wiki/Colorado_Springs,_CO_Metropolitan_Statistical_Area",
31000US15660,"Calhoun, GA","http://en.wikipedia.org/wiki/Calhoun,_GA_Micropolitan_Statistical_Area",122
31000US45180,"Talladega-Sylacauga, AL","http://en.wikipedia.org/wiki/Talladega-Sylacauga,_AL_Micropolitan_Statistical_Area",142
31000US47420,"Wahpeton, ND-MN","http://en.wikipedia.org/wiki/Wahpeton,_ND-MN_Micropolitan_Statistical_Area",244
31000US42540,"Scranton--Wilkes-Barre--Hazleton, PA","http://en.wikipedia.org/wiki/Scranton%E2%80%93Wilkes-Barre%E2%80%93Hazleton,_PA_Metropolitan_Statistical_Area",
31000US19980,"Dodge City, KS","http://en.wikipedia.org/wiki/Dodge_City,_KS_Micropolitan_Statistical_Area",
31000US41980,"San Juan-Carolina-Caguas, PR","http://en.wikipedia.org/wiki/San_Juan-Carolina-Caguas,_PR_Metropolitan_Statistical_Area",490
31000US27220,"Jackson, WY-ID","http://en.wikipedia.org/wiki/Jackson,_WY-ID_Micropolitan_Statistical_Area",
31000US43780,"South Bend-Mishawaka, IN-MI","http://en.wikipedia.org/wiki/South_Bend-Mishawaka,_IN-MI_Metropolitan_Statistical_Area",515
31000US27340,"Jacksonville, NC","http://en.wikipedia.org/wiki/Jacksonville,_NC_Metropolitan_Statistical_Area",
31000US43340,"Shreveport-Bossier City, LA","http://en.wikipedia.org/wiki/Shreveport-Bossier_City,_LA_Metropolitan_Statistical_Area",
31000US46340,"Tyler, TX","http://en.wikipedia.org/wiki/Tyler,_TX_Metropolitan_Statistical_Area",540
31000US43420,"Sierra Vista-Douglas, AZ","http://en.wikipedia.org/wiki/Sierra_Vista-Douglas,_AZ_Metropolitan_Statistical_Area",
31000US38300,"Pittsburgh, PA","http://en.wikipedia.org/wiki/Pittsburgh,_PA_Metropolitan_Statistical_Area",430
31000US38860,"Portland-South Portland, ME","http://en.wikipedia.org/wiki/Portland-South_Portland,_ME_Metropolitan_Statistical_Area",438
31000US17500,"Clewiston, FL","http://en.wikipedia.org/wiki/Clewiston,_FL_Micropolitan_Statistical_Area",
31000US20700,"East Stroudsburg, PA","http://en.wikipedia.org/wiki/East_Stroudsburg,_PA_Metropolitan_Statistical_Area",408
31000US30020,"Lawton, OK","http://en.wikipedia.org/wiki/Lawton,_OK_Metropolitan_Statistical_Area",
31000US23500,"Gaffney, SC","http://en.wikipedia.org/wiki/Gaffney,_SC_Micropolitan_Statistical_Area",273
31000US44940,"Sumter, SC","http://en.wikipedia.org/wiki/Sumter,_SC_Metropolitan_Statistical_Area",
31000US31820,"Manitowoc, WI","http://en.wikipedia.org/wiki/Manitowoc,_WI_Micropolitan_Statistical_Area",
31000US41860,"San Francisco-Oakland-Hayward, CA","http://en.wikipedia.org/wiki/San_Francisco-Oakland-Hayward,_CA_Metropolitan_Statistical_Area",488
31000US36860,"Ottawa-Peru, IL","http://en.wikipedia.org/wiki/Ottawa-Peru,_IL_Micropolitan_Statistical_Area",176
31000US18020,"Columbus, IN","http://en.wikipedia.org/wiki/Columbus,_IN_Metropolitan_Statistical_Area",294
31000US38780,"Portales, NM","http://en.wikipedia.org/wiki/Portales,_NM_Micropolitan_Statistical_Area",188
31000US18140,"Columbus, OH","http://en.wikipedia.org/wiki/Columbus,_OH_Metropolitan_Statistical_Area",198
31000US45740,"Toccoa, GA","http://en.wikipedia.org/wiki/Toccoa,_GA_Micropolitan_Statistical_Area",
31000US17660,"Coeur d'Alene, ID","http://en.wikipedia.org/wiki/Coeur_d%27Alene,_ID_Metropolitan_Statistical_Area",518
31000US41940,"San Jose-Sunnyvale-Santa Clara, CA","http://en.wikipedia.org/wiki/San_Jose-Sunnyvale-Santa_Clara,_CA_Metropolitan_Statistical_Area",488
31000US29660,"Laramie, WY","http://en.wikipedia.org/wiki/Laramie,_WY_Micropolitan_Statistical_Area",
31000US42300,"Sault Ste. Marie, MI","http://en.wikipedia.org/wiki/Sault_Ste._Marie,_MI_Micropolitan_Statistical_Area",
31000US38100,"Picayune, MS","http://en.wikipedia.org/wiki/Picayune,_MS_Micropolitan_Statistical_Area",406
31000US46820,"Vermillion, SD","http://en.wikipedia.org/wiki/Vermillion,_SD_Micropolitan_Statistical_Area",512
31000US17260,"Clarksdale, MS","http://en.wikipedia.org/wiki/Clarksdale,_MS_Micropolitan_Statistical_Area",
31000US43320,"Show Low, AZ","http://en.wikipedia.org/wiki/Show_Low,_AZ_Micropolitan_Statistical_Area",
31000US29060,"Laconia, NH","http://en.wikipedia.org/wiki/Laconia,_NH_Micropolitan_Statistical_Area",148
31000US32940,"Meridian, MS","http://en.wikipedia.org/wiki/Meridian,_MS_Micropolitan_Statistical_Area",
31000US47260,"Virginia Beach-Norfolk-Newport News, VA-NC","http://en.wikipedia.org/wiki/Virginia_Beach-Norfolk-Newport_News,_VA-NC_Metropolitan_Statistical_Area",545
31000US29100,"La Crosse-Onalaska, WI-MN","http://en.wikipedia.org/wiki/La_Crosse-Onalaska,_WI-MN_Metropolitan_Statistical_Area",
31000US32380,"Mason City, IA","http://en.wikipedia.org/wiki/Mason_City,_IA_Micropolitan_Statistical_Area",
31000US31460,"Madera, CA","http://en.wikipedia.org/wiki/Madera,_CA_Metropolitan_Statistical_Area",260
31000US45940,"Trenton, NJ","http://en.wikipedia.org/wiki/Trenton,_NJ_Metropolitan_Statistical_Area",408
