geoid,name,link,csa
31000US22500,"Florence, SC","http://en.wikipedia.org/wiki/Florence,_SC_Metropolitan_Statistical_Area",
31000US21740,"Evanston, WY","http://en.wikipedia.org/wiki/Evanston,_WY_Micropolitan_Statistical_Area",
31000US26940,"Indianola, MS","http://en.wikipedia.org/wiki/Indianola,_MS_Micropolitan_Statistical_Area",185
31000US34340,"Mount Airy, NC","http://en.wikipedia.org/wiki/Mount_Airy,_NC_Micropolitan_Statistical_Area",268
31000US18880,"Crestview-Fort Walton Beach-Destin, FL","http://en.wikipedia.org/wiki/Crestview-Fort_Walton_Beach-Destin,_FL_Metropolitan_Statistical_Area",
31000US11820,"Astoria, OR","http://en.wikipedia.org/wiki/Astoria,_OR_Micropolitan_Statistical_Area",
31000US48300,"Wenatchee, WA","http://en.wikipedia.org/wiki/Wenatchee,_WA_Metropolitan_Statistical_Area",
31000US11540,"Appleton, WI","http://en.wikipedia.org/wiki/Appleton,_WI_Metropolitan_Statistical_Area",118
31000US42180,"Santa Isabel, PR","http://en.wikipedia.org/wiki/Santa_Isabel,_PR_Micropolitan_Statistical_Area",434
31000US35620,"New York-Newark-Jersey City, NY-NJ-PA","http://en.wikipedia.org/wiki/New_York-Newark-Jersey_City,_NY-NJ-PA_Metropolitan_Statistical_Area",408
31000US11980,"Athens, TX","http://en.wikipedia.org/wiki/Athens,_TX_Micropolitan_Statistical_Area",206
31000US49420,"Yakima, WA","http://en.wikipedia.org/wiki/Yakima,_WA_Metropolitan_Statistical_Area",
31000US10100,"Aberdeen, SD","http://en.wikipedia.org/wiki/Aberdeen,_SD_Micropolitan_Statistical_Area",
31000US36580,"Oneonta, NY","http://en.wikipedia.org/wiki/Oneonta,_NY_Micropolitan_Statistical_Area",
31000US11380,"Andrews, TX","http://en.wikipedia.org/wiki/Andrews,_TX_Micropolitan_Statistical_Area",
31000US42780,"Selinsgrove, PA","http://en.wikipedia.org/wiki/Selinsgrove,_PA_Micropolitan_Statistical_Area",146
31000US39060,"Pottsville, PA","http://en.wikipedia.org/wiki/Pottsville,_PA_Micropolitan_Statistical_Area",
31000US30420,"Lexington, NE","http://en.wikipedia.org/wiki/Lexington,_NE_Micropolitan_Statistical_Area",
31000US11260,"Anchorage, AK","http://en.wikipedia.org/wiki/Anchorage,_AK_Metropolitan_Statistical_Area",
31000US10580,"Albany-Schenectady-Troy, NY","http://en.wikipedia.org/wiki/Albany-Schenectady-Troy,_NY_Metropolitan_Statistical_Area",104
31000US18420,"Corinth, MS","http://en.wikipedia.org/wiki/Corinth,_MS_Micropolitan_Statistical_Area",
31000US27140,"Jackson, MS","http://en.wikipedia.org/wiki/Jackson,_MS_Metropolitan_Statistical_Area",298
31000US39260,"Prineville, OR","http://en.wikipedia.org/wiki/Prineville,_OR_Micropolitan_Statistical_Area",140
31000US28100,"Kankakee, IL","http://en.wikipedia.org/wiki/Kankakee,_IL_Metropolitan_Statistical_Area",176
31000US22180,"Fayetteville, NC","http://en.wikipedia.org/wiki/Fayetteville,_NC_Metropolitan_Statistical_Area",246
31000US16060,"Carbondale-Marion, IL","http://en.wikipedia.org/wiki/Carbondale-Marion,_IL_Metropolitan_Statistical_Area",
31000US11180,"Ames, IA","http://en.wikipedia.org/wiki/Ames,_IA_Metropolitan_Statistical_Area",218
31000US44460,"Steamboat Springs, CO","http://en.wikipedia.org/wiki/Steamboat_Springs,_CO_Micropolitan_Statistical_Area",525
31000US32300,"Martinsville, VA","http://en.wikipedia.org/wiki/Martinsville,_VA_Micropolitan_Statistical_Area",
31000US45020,"Sweetwater, TX","http://en.wikipedia.org/wiki/Sweetwater,_TX_Micropolitan_Statistical_Area",
31000US44340,"Statesboro, GA","http://en.wikipedia.org/wiki/Statesboro,_GA_Micropolitan_Statistical_Area",496
