geoid,name,link
33000US216,"Denver-Aurora, CO","http://en.wikipedia.org/wiki/Denver-Aurora,_CO_Combined_Statistical_Area"
33000US217,"DeRidder-Fort Polk South, LA","http://en.wikipedia.org/wiki/DeRidder-Fort_Polk_South,_LA_Combined_Statistical_Area"
33000US212,"Dayton-Springfield-Sidney, OH","http://en.wikipedia.org/wiki/Dayton-Springfield-Sidney,_OH_Combined_Statistical_Area"
33000US218,"Des Moines-Ames-West Des Moines, IA","http://en.wikipedia.org/wiki/Des_Moines-Ames-West_Des_Moines,_IA_Combined_Statistical_Area"
33000US496,"Savannah-Hinesville-Statesboro, GA","http://en.wikipedia.org/wiki/Savannah-Hinesville-Statesboro,_GA_Combined_Statistical_Area"
33000US490,"San Juan-Carolina, PR","http://en.wikipedia.org/wiki/San_Juan-Carolina,_PR_Combined_Statistical_Area"
33000US525,"Steamboat Springs-Craig, CO","http://en.wikipedia.org/wiki/Steamboat_Springs-Craig,_CO_Combined_Statistical_Area"
33000US406,"New Orleans-Metairie-Hammond, LA-MS","http://en.wikipedia.org/wiki/New_Orleans-Metairie-Hammond,_LA-MS_Combined_Statistical_Area"
33000US540,"Tyler-Jacksonville, TX","http://en.wikipedia.org/wiki/Tyler-Jacksonville,_TX_Combined_Statistical_Area"
33000US404,"New Bern-Morehead City, NC","http://en.wikipedia.org/wiki/New_Bern-Morehead_City,_NC_Combined_Statistical_Area"
33000US546,"Visalia-Porterville-Hanford, CA","http://en.wikipedia.org/wiki/Visalia-Porterville-Hanford,_CA_Combined_Statistical_Area"
33000US221,"Dixon-Sterling, IL","http://en.wikipedia.org/wiki/Dixon-Sterling,_IL_Combined_Statistical_Area"
33000US544,"Victoria-Port Lavaca, TX","http://en.wikipedia.org/wiki/Victoria-Port_Lavaca,_TX_Combined_Statistical_Area"
33000US545,"Virginia Beach-Norfolk, VA-NC","http://en.wikipedia.org/wiki/Virginia_Beach-Norfolk,_VA-NC_Combined_Statistical_Area"
33000US280,"Hickory-Lenoir, NC","http://en.wikipedia.org/wiki/Hickory-Lenoir,_NC_Combined_Statistical_Area"
33000US548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","http://en.wikipedia.org/wiki/Washington-Baltimore-Arlington,_DC-MD-VA-WV-PA_Combined_Statistical_Area"
33000US348,"Los Angeles-Long Beach, CA","http://en.wikipedia.org/wiki/Los_Angeles-Long_Beach,_CA_Combined_Statistical_Area"
33000US284,"Hot Springs-Malvern, AR","http://en.wikipedia.org/wiki/Hot_Springs-Malvern,_AR_Combined_Statistical_Area"
33000US408,"New York-Newark, NY-NJ-CT-PA","http://en.wikipedia.org/wiki/New_York-Newark,_NY-NJ-CT-PA_Combined_Statistical_Area"
33000US522,"Springfield-Jacksonville-Lincoln, IL","http://en.wikipedia.org/wiki/Springfield-Jacksonville-Lincoln,_IL_Combined_Statistical_Area"
33000US120,"Asheville-Brevard, NC","http://en.wikipedia.org/wiki/Asheville-Brevard,_NC_Combined_Statistical_Area"
33000US122,"Atlanta--Athens-Clarke County--Sandy Springs, GA","http://en.wikipedia.org/wiki/Atlanta%E2%80%93Athens-Clarke_County%E2%80%93Sandy_Springs,_GA_Combined_Statistical_Area"
33000US260,"Fresno-Madera, CA","http://en.wikipedia.org/wiki/Fresno-Madera,_CA_Combined_Statistical_Area"
33000US267,"Green Bay-Shawano, WI","http://en.wikipedia.org/wiki/Green_Bay-Shawano,_WI_Combined_Statistical_Area"
33000US266,"Grand Rapids-Wyoming-Muskegon, MI","http://en.wikipedia.org/wiki/Grand_Rapids-Wyoming-Muskegon,_MI_Combined_Statistical_Area"
33000US264,"Gainesville-Lake City, FL","http://en.wikipedia.org/wiki/Gainesville-Lake_City,_FL_Combined_Statistical_Area"
33000US268,"Greensboro--Winston-Salem--High Point, NC","http://en.wikipedia.org/wiki/Greensboro%E2%80%93Winston-Salem%E2%80%93High_Point,_NC_Combined_Statistical_Area"
33000US365,"McAllen-Edinburg, TX","http://en.wikipedia.org/wiki/McAllen-Edinburg,_TX_Combined_Statistical_Area"
33000US362,"Martin-Union City, TN-KY","http://en.wikipedia.org/wiki/Martin-Union_City,_TN-KY_Combined_Statistical_Area"
33000US378,"Minneapolis-St. Paul, MN-WI","http://en.wikipedia.org/wiki/Minneapolis-St._Paul,_MN-WI_Combined_Statistical_Area"
