full_geoid,state,name,wiki_url
05000US01057,AL,Fayette County,"https://en.wikipedia.org/wiki/Fayette_County,_Alabama"
05000US01059,AL,Franklin County,"https://en.wikipedia.org/wiki/Franklin_County,_Alabama"
05000US01061,AL,Geneva County,"https://en.wikipedia.org/wiki/Geneva_County,_Alabama"
05000US01063,AL,Greene County,"https://en.wikipedia.org/wiki/Greene_County,_Alabama"
05000US01065,AL,Hale County,"https://en.wikipedia.org/wiki/Hale_County,_Alabama"
05000US01067,AL,Henry County,"https://en.wikipedia.org/wiki/Henry_County,_Alabama"
05000US01069,AL,Houston County,"https://en.wikipedia.org/wiki/Houston_County,_Alabama"
05000US01071,AL,Jackson County,"https://en.wikipedia.org/wiki/Jackson_County,_Alabama"
05000US01073,AL,Jefferson County,"https://en.wikipedia.org/wiki/Jefferson_County,_Alabama"
05000US01075,AL,Lamar County,"https://en.wikipedia.org/wiki/Lamar_County,_Alabama"
05000US01077,AL,Lauderdale County,"https://en.wikipedia.org/wiki/Lauderdale_County,_Alabama"
05000US01079,AL,Lawrence County,"https://en.wikipedia.org/wiki/Lawrence_County,_Alabama"
05000US01081,AL,Lee County,"https://en.wikipedia.org/wiki/Lee_County,_Alabama"
05000US01083,AL,Limestone County,"https://en.wikipedia.org/wiki/Limestone_County,_Alabama"
05000US01085,AL,Lowndes County,"https://en.wikipedia.org/wiki/Lowndes_County,_Alabama"
05000US01087,AL,Macon County,"https://en.wikipedia.org/wiki/Macon_County,_Alabama"
05000US01089,AL,Madison County,"https://en.wikipedia.org/wiki/Madison_County,_Alabama"
05000US01091,AL,Marengo County,"https://en.wikipedia.org/wiki/Marengo_County,_Alabama"
05000US01093,AL,Marion County,"https://en.wikipedia.org/wiki/Marion_County,_Alabama"
05000US01095,AL,Marshall County,"https://en.wikipedia.org/wiki/Marshall_County,_Alabama"
05000US01097,AL,Mobile County,"https://en.wikipedia.org/wiki/Mobile_County,_Alabama"
05000US01099,AL,Monroe County,"https://en.wikipedia.org/wiki/Monroe_County,_Alabama"
05000US01101,AL,Montgomery County,"https://en.wikipedia.org/wiki/Montgomery_County,_Alabama"
05000US01103,AL,Morgan County,"https://en.wikipedia.org/wiki/Morgan_County,_Alabama"
05000US01105,AL,Perry County,"https://en.wikipedia.org/wiki/Perry_County,_Alabama"
05000US01107,AL,Pickens County,"https://en.wikipedia.org/wiki/Pickens_County,_Alabama"
05000US01109,AL,Pike County,"https://en.wikipedia.org/wiki/Pike_County,_Alabama"
05000US01111,AL,Randolph County,"https://en.wikipedia.org/wiki/Randolph_County,_Alabama"
05000US01113,AL,Russell County,"https://en.wikipedia.org/wiki/Russell_County,_Alabama"
05000US01115,AL,St. Clair County,"https://en.wikipedia.org/wiki/St._Clair_County,_Alabama"
05000US01117,AL,Shelby County,"https://en.wikipedia.org/wiki/Shelby_County,_Alabama"
05000US01119,AL,Sumter County,"https://en.wikipedia.org/wiki/Sumter_County,_Alabama"
05000US01121,AL,Talladega County,"https://en.wikipedia.org/wiki/Talladega_County,_Alabama"
05000US01123,AL,Tallapoosa County,"https://en.wikipedia.org/wiki/Tallapoosa_County,_Alabama"
05000US01125,AL,Tuscaloosa County,"https://en.wikipedia.org/wiki/Tuscaloosa_County,_Alabama"
05000US01127,AL,Walker County,"https://en.wikipedia.org/wiki/Walker_County,_Alabama"
05000US01129,AL,Washington County,"https://en.wikipedia.org/wiki/Washington_County,_Alabama"
05000US01131,AL,Wilcox County,"https://en.wikipedia.org/wiki/Wilcox_County,_Alabama"
05000US01133,AL,Winston County,"https://en.wikipedia.org/wiki/Winston_County,_Alabama"
05000US02013,AK,Aleutians East Borough,"https://en.wikipedia.org/wiki/Aleutians_East_Borough,_Alaska"
05000US02016,AK,Aleutians West Census Area,"https://en.wikipedia.org/wiki/Aleutians_West_Census_Area,_Alaska"
05000US02020,AK,Anchorage Municipality,"https://en.wikipedia.org/wiki/Anchorage,_Alaska"
05000US02050,AK,Bethel Census Area,"https://en.wikipedia.org/wiki/Bethel_Census_Area,_Alaska"
05000US02060,AK,Bristol Bay Borough,"https://en.wikipedia.org/wiki/Bristol_Bay_Borough,_Alaska"
05000US02068,AK,Denali Borough,"https://en.wikipedia.org/wiki/Denali_Borough,_Alaska"
05000US02070,AK,Dillingham Census Area,"https://en.wikipedia.org/wiki/Dillingham_Census_Area,_Alaska"
05000US02090,AK,Fairbanks North Star Borough,"https://en.wikipedia.org/wiki/Fairbanks_North_Star_Borough,_Alaska"
05000US02100,AK,Haines Borough,"https://en.wikipedia.org/wiki/Haines_Borough,_Alaska"
05000US02105,AK,Hoonah-Angoon Census Area,"https://en.wikipedia.org/wiki/Hoonah-Angoon_Census_Area,_Alaska"
05000US02110,AK,Juneau City and Borough,"https://en.wikipedia.org/wiki/Juneau,_Alaska"
05000US02122,AK,Kenai Peninsula Borough,"https://en.wikipedia.org/wiki/Kenai_Peninsula_Borough,_Alaska"
05000US02130,AK,Ketchikan Gateway Borough,"https://en.wikipedia.org/wiki/Ketchikan_Gateway_Borough,_Alaska"
05000US02150,AK,Kodiak Island Borough,"https://en.wikipedia.org/wiki/Kodiak_Island_Borough,_Alaska"
05000US02164,AK,Lake and Peninsula Borough,"https://en.wikipedia.org/wiki/Lake_and_Peninsula_Borough,_Alaska"
05000US02170,AK,Matanuska-Susitna Borough,"https://en.wikipedia.org/wiki/Matanuska-Susitna_Borough,_Alaska"
05000US02180,AK,Nome Census Area,"https://en.wikipedia.org/wiki/Nome_Census_Area,_Alaska"
05000US02185,AK,North Slope Borough,"https://en.wikipedia.org/wiki/North_Slope_Borough,_Alaska"
